order_id,order_date,customer_id,customer_name,segment,category,product,region,sales_channel,quantity,unit_price,discount,sales,cost,profit
ORD-10038,2025-02-12,CUST-0169,Customer 0169,Home Office,Electronics,Smartphone,West,Marketplace,5,570.03,0.0,2850.15,1846.02,1004.13
ORD-10039,2024-01-29,CUST-0060,Customer 0060,Consumer,Home & Kitchen,Lamp,North,Marketplace,5,46.09,0.0,230.45,206.08,24.37
ORD-10040,2024-11-17,CUST-0224,Customer 0224,Consumer,Fashion,Jacket,West,Online,2,100.79,0.1,181.42,111.85,69.57
ORD-10041,2025-01-07,CUST-0221,Customer 0221,Home Office,Home & Kitchen,Cookware Set,North,Marketplace,2,157.67,,252.27,193.77,58.5
ORD-10042,2025-11-13,CUST-0210,Customer 0210,Consumer,Office Supplies,Pen Set,West,Marketplace,6,19.06,0.1,102.92,76.58,26.34
ORD-10043,2025-09-22,CUST-0292,Customer 0292,Corporate,Fashion,Jeans,South,Retail Store,5,55.79,0.1,251.06,138.12,112.94
ORD-10044,2025-04-21,CUST-0227,Customer 0227,Home Office,Home & Kitchen,Lamp,South,Marketplace,8,41.13,0.2,263.23,188.37,74.86
ORD-10045,2025-06-11,CUST-0340,Customer 0340,Home Office,Electronics,Headphones,East,Online,6,87.64,0.0,525.84,427.45,98.39
ORD-10046,2024-01-26,CUST-0024,Customer 0024,Corporate,Furniture,Desk,West,Marketplace,4,227.34,0.1,818.42,670.26,148.16
ORD-10047,2025-12-14,CUST-0197,Customer 0197,Consumer,Home & Kitchen,Cookware Set,North,Retail Store,8,129.25,0.1,930.6,725.51,205.09
ORD-10048,2025-12-13,CUST-0266,Customer 0266,Consumer,Furniture,Desk,West,Online,8,223.79,0.0,1790.32,1559.57,230.75
ORD-10049,2025-03-29,CUST-0314,Customer 0314,Corporate,Fashion,Jacket,West,Retail Store,7,88.54,0.15,526.81,319.09,207.72
ORD-10050,2025-06-17,CUST-0249,Customer 0249,Consumer,Furniture,Bookshelf,East,Retail Store,4,117.84,0.05,447.79,358.12,89.67
ORD-10051,2024-05-21,CUST-0078,Customer 0078,Consumer,Office Supplies,Notebook,West,Retail Store,4,12.7,0.1,45.72,36.45,9.27
ORD-10052,2025-03-01,CUST-0032,Customer 0032,Home Office,Office Supplies,Paper Pack,North,Marketplace,4,24.17,0.1,87.01,71.3,15.71
ORD-10053,2024-01-07,CUST-0181,Customer 0181,Corporate,Fashion,Sneakers,South,Retail Store,5,121.66,0.1,547.47,483.8,63.67
ORD-10054,2025-03-22,CUST-0249,Customer 0249,Corporate,Furniture,Bookshelf,South,Retail Store,1,114.1,0.1,102.69,80.89,21.8
ORD-10055,2025-02-07,CUST-0304,Customer 0304,Corporate,Furniture,Office Chair,South,Online,1,156.42,0.0,156.42,93.46,62.96
ORD-10056,2024-12-01,CUST-0109,Customer 0109,Corporate,Office Supplies,Paper Pack,West,Retail Store,8,23.78,0.05,180.73,155.04,25.69
ORD-10057,2024-01-20,CUST-0277,Customer 0277,Home Office,Electronics,Smartwatch,North,Online,1,165.11,0.05,156.85,90.03,66.82
ORD-10058,2024-01-21,CUST-0319,Customer 0319,Home Office,Furniture,Desk,South,Retail Store,3,195.33,0.0,585.99,459.6,126.39
ORD-10059,2024-06-20,CUST-0311,Customer 0311,Consumer,Office Supplies,Pen Set,East,Marketplace,2,20.51,0.0,41.02,24.11,16.91
ORD-10060,2024-07-22,CUST-0039,Customer 0039,Home Office,Fashion,Sneakers,North,Marketplace,4,116.51,0.0,466.04,305.51,160.53
ORD-10061,2025-06-29,CUST-0220,Customer 0220,Corporate,Electronics,Headphones,West,Online,6,80.14,0.0,480.84,321.89,158.95
ORD-10062,2025-10-12,CUST-0236,Customer 0236,Home Office,Fashion,Jacket,East,Marketplace,3,81.26,0.1,219.4,160.73,58.67
ORD-10063,2025-04-21,CUST-0224,Customer 0224,Consumer,Home & Kitchen,Vacuum Cleaner,East,Retail Store,5,232.16,0.05,1102.76,927.15,175.61
ORD-10064,2025-08-06,CUST-0313,Customer 0313,Consumer,Furniture,Sofa,West,Online,7,558.1,0.05,3711.37,3146.62,564.75
ORD-10065,2024-12-14,CUST-0144,Customer 0144,Consumer,Office Supplies,Pen Set,South,Marketplace,5,15.35,0.15,65.24,57.53,7.71
ORD-10066,2025-07-22,CUST-0124,Customer 0124,Consumer,Fashion,Sneakers,North,Retail Store,8,116.99,0.2,748.74,529.26,219.48
ORD-10067,2025-12-09,CUST-0125,Customer 0125,Home Office,Furniture,Sofa,East,Retail Store,5,665.9,0.2,2663.6,1906.18,757.42
ORD-10068,2024-12-26,CUST-0233,Customer 0233,Consumer,Home & Kitchen,Lamp,East,Online,5,41.64,0.05,197.79,117.14,80.65
ORD-10069,2024-07-15,CUST-0111,Customer 0111,Home Office,Home & Kitchen,Cookware Set,East,Online,8,149.43,0.05,1135.67,1012.8,122.87
ORD-10070,2024-08-20,CUST-0185,Customer 0185,Corporate,Furniture,Bookshelf,North,Online,3,102.51,0.05,292.15,215.3,76.85
ORD-10071,2025-12-15,CUST-0065,Customer 0065,Corporate,Home & Kitchen,Lamp,West,Retail Store,8,50.03,0.0,400.24,300.55,99.69
ORD-10072,2024-02-22,CUST-0130,Customer 0130,Consumer,Office Supplies,Printer,North,Online,8,307.06,0.0,2456.48,1695.58,760.9
ORD-10073,2024-03-28,CUST-0128,Customer 0128,Home Office,Furniture,Bookshelf,South,Marketplace,2,129.52,0.15,220.18,167.82,52.36
ORD-10074,2025-03-29,CUST-0153,Customer 0153,Home Office,Fashion,Sneakers,North,Online,7,112.26,0.05,746.53,426.33,320.2
ORD-10075,2025-11-07,CUST-0042,Customer 0042,Consumer,Furniture,Bookshelf,West,Retail Store,3,108.26,0.0,324.78,187.16,137.62
ORD-10076,2024-10-25,CUST-0017,Customer 0017,Corporate,Home & Kitchen,Vacuum Cleaner,North,Marketplace,4,223.04,0.05,847.55,674.69,172.86
ORD-10077,2025-10-02,CUST-0302,Customer 0302,Consumer,Furniture,Bookshelf,East,Online,4,106.13,0.1,382.07,240.2,141.87
ORD-10078,2024-06-18,CUST-0158,Customer 0158,Home Office,Electronics,Laptop,West,Retail Store,5,665.48,0.1,2994.66,2368.89,625.77
ORD-10079,2025-03-24,CUST-0042,Customer 0042,Consumer,Home & Kitchen,Vacuum Cleaner,North,Online,1,224.78,0.1,202.3,154.01,48.29
ORD-10080,2025-11-19,CUST-0138,Customer 0138,Corporate,Home & Kitchen,Blender,South,Marketplace,1,74.34,0.0,74.34,57.84,16.5
ORD-10081,2024-04-03,CUST-0241,Customer 0241,Consumer,Fashion,Sneakers,East,Retail Store,6,104.5,0.1,564.3,442.72,121.58
ORD-10082,2025-11-09,CUST-0206,Customer 0206,Consumer,Fashion,Jacket,West,Marketplace,1,78.88,0.1,70.99,45.32,25.67
ORD-10083,2025-02-27,CUST-0028,Customer 0028,Home Office,Electronics,Smartwatch,West,Online,4,172.54,0.15,586.64,477.97,108.67
ORD-10084,2025-07-16,CUST-0068,Customer 0068,Consumer,Furniture,Bookshelf,South,Marketplace,5,133.71,0.1,601.7,433.01,168.69
ORD-10085,2025-07-18,CUST-0008,Customer 0008,Consumer,Furniture,Bookshelf,West,Online,7,110.09,0.0,770.63,650.79,119.84
ORD-10086,2024-10-25,CUST-0261,Customer 0261,Consumer,Furniture,Sofa,West,Marketplace,5,715.27,0.1,3218.72,2874.59,344.13
ORD-10087,2024-07-14,CUST-0307,Customer 0307,Corporate,Furniture,Sofa,East,Marketplace,3,606.37,0.0,1819.11,1503.5,315.61
ORD-10088,2024-10-16,CUST-0153,Customer 0153,Corporate,Office Supplies,Notebook,West,Retail Store,8,11.81,0.0,94.48,67.98,26.5
ORD-10089,2025-12-15,CUST-0123,Customer 0123,Corporate,Office Supplies,Printer,West,Marketplace,7,309.91,0.0,2169.37,1505.05,664.32
ORD-10090,2025-11-10,CUST-0334,Customer 0334,Home Office,Fashion,Sneakers,East,Online,3,125.34,0.1,338.42,201.08,137.34
ORD-10091,2025-06-22,CUST-0234,Customer 0234,Consumer,Fashion,T-Shirt,North,Retail Store,1,22.33,0.2,17.86,15.27,2.59
ORD-10092,2025-09-30,CUST-0204,Customer 0204,Corporate,Office Supplies,Pen Set,East,Marketplace,2,19.9,0.05,37.81,32.17,5.64
ORD-10093,2025-09-24,CUST-0036,Customer 0036,Consumer,Fashion,T-Shirt,North,Retail Store,4,26.38,0.2,84.42,54.92,29.5
ORD-10094,2025-03-30,CUST-0086,Customer 0086,Corporate,Electronics,Laptop,East,Retail Store,5,647.85,0.0,3239.25,2684.21,555.04
ORD-10095,2024-09-07,CUST-0272,Customer 0272,Consumer,Fashion,Jeans,North,Marketplace,7,58.0,0.15,345.1,211.55,133.55
ORD-10096,2025-05-24,CUST-0299,Customer 0299,Corporate,Fashion,Jeans,North,Retail Store,3,54.36,0.0,163.08,104.19,58.89
ORD-10097,2024-03-16,CUST-0227,Customer 0227,Home Office,Office Supplies,Printer,East,Retail Store,6,263.13,0.15,1341.96,1189.93,152.03
ORD-10098,2025-01-28,CUST-0248,Customer 0248,Corporate,Office Supplies,Printer,East,Online,2,270.03,0.0,540.06,364.88,175.18
ORD-10099,2024-01-09,CUST-0290,Customer 0290,Corporate,Fashion,Jacket,South,Marketplace,1,96.62,0.15,82.13,69.11,13.02
ORD-10100,2025-10-13,CUST-0098,Customer 0098,Home Office,Office Supplies,Printer,South,Marketplace,5,301.47,0.2,1205.88,987.15,218.73
ORD-10101,2024-11-12,CUST-0226,Customer 0226,Corporate,Electronics,Laptop,East,Marketplace,1,719.59,0.15,611.65,364.54,247.11
ORD-10102,2024-07-24,CUST-0068,Customer 0068,Consumer,Fashion,Jeans,East,Retail Store,6,55.03,0.15,280.65,181.13,99.52
ORD-10103,2024-04-27,CUST-0240,Customer 0240,Home Office,Office Supplies,Pen Set,West,Marketplace,2,19.37,0.0,38.74,24.37,14.37
ORD-10104,2025-02-08,CUST-0008,Customer 0008,Home Office,Office Supplies,Notebook,East,Marketplace,5,10.64,0.15,45.22,30.7,14.52
ORD-10105,2024-04-20,CUST-0346,Customer 0346,Home Office,Fashion,Jacket,East,Marketplace,4,77.18,0.1,277.85,238.81,39.04
ORD-10106,2025-10-12,CUST-0238,Customer 0238,Consumer,Furniture,Office Chair,East,Retail Store,5,145.87,0.2,583.48,349.46,234.02
ORD-10107,2024-08-28,CUST-0276,Customer 0276,Home Office,Electronics,Laptop,West,Marketplace,3,739.57,0.1,1996.84,1566.86,429.98
ORD-10108,2025-11-01,CUST-0051,Customer 0051,Consumer,Furniture,Sofa,East,Online,8,632.08,0.15,4298.14,3795.4,502.74
ORD-10109,2024-08-29,CUST-0186,Customer 0186,Home Office,Fashion,Sneakers,East,Online,2,105.62,0.2,168.99,146.28,22.71
ORD-10110,2024-07-13,CUST-0063,Customer 0063,Home Office,Fashion,Jacket,North,Online,8,94.39,0.0,755.12,584.91,170.21
ORD-10111,2024-05-08,CUST-0290,Customer 0290,Home Office,Office Supplies,Printer,South,Online,4,307.7,0.0,1230.8,915.68,315.12
ORD-10112,2025-09-02,CUST-0002,Customer 0002,Consumer,Office Supplies,Printer,North,Marketplace,5,320.95,0.0,1604.75,1186.03,418.72
ORD-10113,2024-01-16,CUST-0184,Customer 0184,Consumer,Electronics,Smartphone,South,Marketplace,4,473.57,0.15,1610.14,983.77,626.37
ORD-10114,2024-03-06,CUST-0244,Customer 0244,Home Office,Fashion,T-Shirt,South,Marketplace,8,25.1,0.05,190.76,112.2,78.56
ORD-10115,2025-04-14,CUST-0330,Customer 0330,Corporate,Electronics,Headphones,North,Retail Store,1,91.97,0.0,91.97,77.86,14.11
ORD-10116,2024-03-23,CUST-0165,Customer 0165,Home Office,Fashion,T-Shirt,East,Retail Store,3,22.2,0.0,66.6,51.18,15.42
ORD-10117,2025-04-09,CUST-0259,Customer 0259,Home Office,Home & Kitchen,Lamp,South,Retail Store,7,48.96,0.0,342.72,202.22,140.5
ORD-10118,2025-02-27,CUST-0174,Customer 0174,Corporate,Fashion,Jeans,East,Marketplace,8,53.61,0.1,385.99,225.14,160.85
ORD-10119,2024-06-05,CUST-0243,Customer 0243,Consumer,Office Supplies,Pen Set,East,Online,2,19.79,0.0,39.58,23.06,16.52
ORD-10120,2025-08-23,CUST-0288,Customer 0288,Home Office,Home & Kitchen,Blender,West,Marketplace,6,66.5,0.2,319.2,215.06,104.14
ORD-10121,2025-09-06,CUST-0160,Customer 0160,Home Office,Electronics,Headphones,West,Online,6,81.87,0.0,491.22,306.75,184.47
ORD-10122,2025-07-23,CUST-0189,Customer 0189,Home Office,Electronics,Headphones,North,Marketplace,2,81.78,0.05,155.38,129.36,26.02
ORD-10123,2024-07-03,CUST-0140,Customer 0140,Consumer,Office Supplies,Notebook,West,Online,5,11.46,0.05,54.44,33.4,21.04
ORD-10124,2024-04-03,CUST-0272,Customer 0272,Corporate,Furniture,Office Chair,East,Marketplace,4,146.39,0.1,527.0,352.73,174.27
ORD-10125,2024-02-23,CUST-0080,Customer 0080,Corporate,Office Supplies,Notebook,West,Retail Store,3,10.38,0.15,26.47,15.31,11.16
ORD-10126,2025-02-28,CUST-0140,Customer 0140,Corporate,Home & Kitchen,Vacuum Cleaner,West,Marketplace,4,185.67,0.15,631.28,442.19,189.09
ORD-10127,2024-08-13,CUST-0203,Customer 0203,Consumer,Office Supplies,Notebook,East,Retail Store,1,10.94,0.0,10.94,9.64,1.3
ORD-10128,2024-01-08,CUST-0255,Customer 0255,Consumer,Office Supplies,Notebook,East,Online,7,10.67,0.0,74.69,55.0,19.69
ORD-10129,2025-03-22,CUST-0010,Customer 0010,Home Office,Fashion,T-Shirt,West,Marketplace,8,27.72,0.0,221.76,166.66,55.1
ORD-10130,2024-04-27,CUST-0208,Customer 0208,Corporate,Fashion,Jacket,East,Online,1,81.14,0.05,77.08,67.96,9.12
ORD-10131,2024-09-06,CUST-0224,Customer 0224,Home Office,Fashion,T-Shirt,East,Online,7,21.84,0.15,129.95,111.07,18.88
ORD-10132,2024-03-19,CUST-0262,Customer 0262,Corporate,Office Supplies,Printer,East,Marketplace,2,280.84,0.15,477.43,413.97,63.46
ORD-10133,2024-04-15,CUST-0075,Customer 0075,Home Office,Furniture,Desk,North,Online,5,198.45,0.0,992.25,598.83,393.42
ORD-10134,2025-07-31,CUST-0297,Customer 0297,Home Office,Fashion,Sneakers,East,Marketplace,8,124.0,0.2,793.6,593.27,200.33
ORD-10135,2025-03-26,CUST-0035,Customer 0035,Home Office,Office Supplies,Printer,North,Retail Store,8,291.04,0.1,2095.49,1736.56,358.93
ORD-10136,2024-11-13,CUST-0237,Customer 0237,Consumer,Home & Kitchen,Blender,North,Marketplace,8,65.03,0.0,520.24,437.57,82.67
ORD-10137,2025-04-18,CUST-0298,Customer 0298,Consumer,Home & Kitchen,Vacuum Cleaner,East,Marketplace,1,235.77,0.1,212.19,159.16,53.03
ORD-10138,2024-03-04,CUST-0231,Customer 0231,Home Office,Fashion,Jeans,South,Online,2,62.96,0.05,119.62,69.32,50.3
ORD-10139,2025-03-25,CUST-0269,Customer 0269,Corporate,Furniture,Sofa,East,Marketplace,3,625.21,0.05,1781.85,1156.44,625.41
ORD-10140,2025-10-08,CUST-0332,Customer 0332,Corporate,Home & Kitchen,Blender,East,Retail Store,6,71.17,0.0,427.02,318.25,108.77
ORD-10141,2024-12-07,CUST-0042,Customer 0042,Home Office,Home & Kitchen,Cookware Set,West,Online,3,132.03,0.05,376.29,293.36,82.93
ORD-10142,2024-11-13,CUST-0287,Customer 0287,Home Office,Home & Kitchen,Blender,North,Marketplace,7,81.56,0.2,456.74,381.2,75.54
ORD-10143,2024-01-19,CUST-0186,Customer 0186,Corporate,Fashion,Jacket,South,Online,5,102.18,0.0,510.9,342.1,168.8
ORD-10144,2024-03-20,CUST-0152,Customer 0152,Home Office,Furniture,Desk,North,Marketplace,2,237.88,0.15,404.4,340.62,63.78
ORD-10145,2025-09-03,CUST-0193,Customer 0193,Home Office,Office Supplies,Printer,South,Marketplace,3,253.19,0.0,759.57,601.96,157.61
ORD-10146,2025-02-24,CUST-0187,Customer 0187,Corporate,Fashion,T-Shirt,South,Marketplace,4,25.83,0.1,92.99,75.63,17.36
ORD-10147,2025-04-25,CUST-0100,Customer 0100,Corporate,Furniture,Bookshelf,East,Retail Store,6,136.1,0.2,653.28,584.39,68.89
ORD-10148,2024-06-14,CUST-0103,Customer 0103,Corporate,Home & Kitchen,Vacuum Cleaner,North,Marketplace,3,181.79,0.05,518.1,372.1,146.0
ORD-10149,2024-10-18,CUST-0043,Customer 0043,Corporate,Home & Kitchen,Blender,North,Online,3,73.86,0.05,210.5,153.6,56.9
ORD-10150,2024-01-28,CUST-0213,Customer 0213,Consumer,Fashion,Jacket,East,Online,1,90.05,0.1,81.05,51.27,29.78
ORD-10151,2024-04-11,CUST-0333,Customer 0333,Corporate,Electronics,Headphones,South,Marketplace,6,71.3,0.0,427.8,278.24,149.56
ORD-10152,2025-09-22,CUST-0003,Customer 0003,Home Office,Fashion,Sneakers,West,Online,2,101.95,0.0,203.9,171.73,32.17
ORD-10153,2024-11-04,CUST-0063,Customer 0063,Corporate,Office Supplies,Printer,North,Online,1,273.27,0.0,273.27,226.23,47.04
ORD-10154,2025-10-09,CUST-0264,Customer 0264,Home Office,Fashion,T-Shirt,East,Online,4,22.33,0.2,71.46,50.04,21.42
ORD-10155,2024-07-10,CUST-0341,Customer 0341,Home Office,Home & Kitchen,Vacuum Cleaner,North,Retail Store,2,239.9,0.15,407.83,233.97,173.86
ORD-10156,2025-10-12,CUST-0199,Customer 0199,Consumer,Fashion,T-Shirt,East,Online,6,26.85,0.05,153.05,103.31,49.74
ORD-10157,2024-05-16,CUST-0023,Customer 0023,Home Office,Electronics,Headphones,West,Marketplace,6,76.13,0.15,388.26,300.89,87.37
ORD-10158,2024-05-18,CUST-0033,Customer 0033,Consumer,Fashion,Jeans,North,Retail Store,8,51.59,0.0,412.72,233.32,179.4
ORD-10159,2025-07-10,CUST-0243,Customer 0243,Corporate,Office Supplies,Paper Pack,North,Marketplace,5,26.9,0.0,134.5,82.97,51.53
ORD-10160,2024-05-07,CUST-0189,Customer 0189,Corporate,Office Supplies,Pen Set,East,Online,7,19.31,0.1,121.65,105.0,16.65
ORD-10161,2025-01-11,CUST-0266,Customer 0266,Home Office,Fashion,Sneakers,South,Marketplace,5,117.49,0.0,587.45,339.33,248.12
ORD-10162,2024-04-15,CUST-0041,Customer 0041,Home Office,Office Supplies,Pen Set,West,Online,6,16.9,0.2,81.12,57.28,23.84
ORD-10163,2025-04-02,CUST-0022,Customer 0022,Consumer,Fashion,Jacket,North,Marketplace,6,103.45,0.15,527.6,340.88,186.72
ORD-10164,2025-06-09,CUST-0348,Customer 0348,Corporate,Fashion,Jacket,North,Online,3,80.36,0.0,241.08,183.86,57.22
ORD-10165,2025-10-22,CUST-0188,Customer 0188,Consumer,Electronics,Smartphone,West,Retail Store,6,567.42,0.1,3064.07,1719.97,1344.1
ORD-10166,2024-03-19,CUST-0294,Customer 0294,Corporate,Office Supplies,Paper Pack,South,Online,3,24.0,0.15,61.2,40.39,20.81
ORD-10167,2025-05-26,CUST-0266,Customer 0266,Home Office,Electronics,Smartphone,West,Online,7,442.66,0.15,2633.83,2163.0,470.83
ORD-10168,2025-12-11,CUST-0252,Customer 0252,Consumer,Home & Kitchen,Lamp,West,Online,4,40.08,0.0,160.32,92.33,67.99
ORD-10169,2025-12-27,CUST-0034,Customer 0034,Home Office,Office Supplies,Pen Set,South,Retail Store,5,19.9,0.05,94.52,75.53,18.99
ORD-10170,2024-05-04,CUST-0103,Customer 0103,Home Office,Home & Kitchen,Cookware Set,East,Retail Store,3,152.2,0.0,456.6,255.33,201.27
ORD-10171,2025-09-18,CUST-0045,Customer 0045,Corporate,Home & Kitchen,Cookware Set,West,Retail Store,2,135.72,0.05,257.87,206.53,51.34
ORD-10172,2024-05-08,CUST-0163,Customer 0163,Consumer,Home & Kitchen,Blender,South,Online,2,74.23,0.1,133.61,97.68,35.93
ORD-10173,2024-05-07,CUST-0266,Customer 0266,Home Office,Fashion,T-Shirt,South,Retail Store,3,22.48,0.05,64.07,42.47,21.6
ORD-10174,2024-03-21,CUST-0129,Customer 0129,Home Office,Home & Kitchen,Lamp,East,Marketplace,4,51.16,0.2,163.71,105.77,57.94
ORD-10175,2025-05-29,CUST-0329,Customer 0329,Home Office,Home & Kitchen,Blender,East,Marketplace,3,84.94,0.15,216.6,130.82,85.78
ORD-10176,2024-03-24,CUST-0024,Customer 0024,Home Office,Electronics,Laptop,North,Retail Store,5,684.93,0.2,2739.72,2055.47,684.25
ORD-10177,2025-10-19,CUST-0155,Customer 0155,Corporate,Home & Kitchen,Lamp,West,Online,8,49.11,0.0,392.88,310.28,82.6
ORD-10178,2025-03-26,CUST-0213,Customer 0213,Corporate,Electronics,Smartphone,East,Marketplace,8,455.6,0.1,3280.32,2500.69,779.63
ORD-10179,2024-05-13,CUST-0190,Customer 0190,Corporate,Office Supplies,Paper Pack,South,Online,2,23.06,0.05,43.81,25.97,17.84
ORD-10180,2024-10-24,CUST-0197,Customer 0197,Corporate,Electronics,Laptop,East,Online,7,854.1,0.0,5978.7,5176.41,802.29
ORD-10181,2025-06-11,CUST-0240,Customer 0240,Corporate,Furniture,Sofa,West,Online,8,649.49,0.05,4936.12,2870.44,2065.68
ORD-10182,2024-02-19,CUST-0026,Customer 0026,Home Office,Furniture,Bookshelf,West,Retail Store,5,123.51,0.1,555.8,469.65,86.15
ORD-10183,2024-04-20,CUST-0221,Customer 0221,Corporate,Home & Kitchen,Blender,North,Retail Store,3,80.12,0.05,228.34,186.63,41.71
ORD-10184,2025-01-06,CUST-0284,Customer 0284,Home Office,Electronics,Smartphone,East,Marketplace,5,482.95,0.0,2414.75,1708.74,706.01
ORD-10185,2024-05-11,CUST-0050,Customer 0050,Corporate,Home & Kitchen,Blender,South,Online,7,81.64,0.05,542.91,363.03,179.88
ORD-10186,2025-05-27,CUST-0021,Customer 0021,Corporate,Home & Kitchen,Vacuum Cleaner,West,Online,1,187.13,0.0,187.13,124.73,62.4
